driver_id,client_id,delivery_type,latitude,longitude,time,battery_id,car_num,detail_address
1,1,배달,37.504656,127.035811,00:40,1,08의5414,지하주차장
1,1,수거,37.504656,127.035811,01:10,1,08의5414,지하주차장
1,5,배달,37.502838,127.041423,03:25,1,02서9102,지하주차장
1,5,수거,37.502838,127.041423,03:55,1,02서9102,지하주차장
1,8,배달,37.506474,127.013364,05:05,1,16연7138,야외주차장
1,8,수거,37.506474,127.013364,05:35,1,16연7138,야외주차장
2,3,배달,37.506474,127.021782,01:52,3,04경5526,지하주차장
2,6,배달,37.493748,127.017573,03:55,5,24여7946,야외주차장
2,6,수거,37.493748,127.017573,04:35,5,24여7946,야외주차장
3,4,배달,37.488295,127.02599,02:32,4,24서9932,야외주차장
3,4,수거,37.488295,127.02599,03:07,4,24서9932,야외주차장
3,7,배달,37.490112,127.042826,04:10,4,09보5021,지하주차장
3,7,수거,37.490112,127.042826,05:05,4,09보5021,지하주차장
3,9,수거,37.511927,127.031602,06:15,2,08은4056,지하주차장
4,2,배달,37.499202,127.031602,01:10,2,10진5762,야외주차장
4,2,수거,37.499202,127.031602,01:50,2,10진5762,야외주차장
4,3,수거,37.506474,127.021782,02:22,3,04경5526,지하주차장
4,9,배달,37.511927,127.031602,05:50,2,08은4056,지하주차장
4,10,배달,37.517381,127.033005,06:20,3,06빈5366,야외주차장
4,10,수거,37.517381,127.033005,06:55,3,06빈5366,야외주차장
