driver_id,client_id,delivery_type,latitude,longitude,time,battery_id,car_num,detail_address
1,1,배달,37.504656,127.033005,08:40,1,08의5415,야외주차장
1,1,수거,37.504656,127.033005,09:20,1,08의5415,야외주차장
1,3,배달,37.510109,127.027393,09:50,1,04경5527,야외주차장
1,3,수거,37.510109,127.027393,10:20,1,04경5527,야외주차장
1,8,수거,37.510109,127.018976,13:27,2,16연7139,지하주차장
2,2,수거,37.493748,127.02599,09:40,2,10진5763,지하주차장
2,5,배달,37.495566,127.04002,11:00,2,02서9103,야외주차장
2,6,배달,37.50102,127.020379,11:40,5,24여7947,지하주차장
2,6,수거,37.50102,127.020379,12:15,5,24여7947,지하주차장
3,2,배달,37.493748,127.02599,09:10,2,10진5763,지하주차장
3,7,배달,37.484659,127.023185,12:11,4,09보5022,야외주차장
3,7,수거,37.484659,127.023185,12:46,4,09보5022,야외주차장
3,9,배달,37.482841,127.04002,13:50,4,08은4057,야외주차장
3,9,수거,37.482841,127.04002,14:25,4,08은4057,야외주차장
4,4,배달,37.49193,127.031602,10:30,3,24서9933,지하주차장
4,4,수거,37.49193,127.031602,11:10,3,24서9933,지하주차장
4,5,수거,37.495566,127.04002,11:30,2,02서9103,야외주차장
4,8,배달,37.510109,127.018976,12:57,2,16연7139,지하주차장
4,10,배달,37.517381,127.035811,14:25,3,06빈5367,지하주차장
4,10,수거,37.517381,127.035811,15:05,3,06빈5367,지하주차장
